,C_minmax,I_minmax,Q_minmax,index_minmax,C_robust,I_robust,Q_robust,index_robust,C_percentile,I_percentile,Q_percentile,index_percentile
2015-04-01,0.48913043478260876,0.40624999999999994,0.6702059633829003,0.5218621327218363,0.3854961832061069,0.2999999999999998,0.812906244382419,0.4994674758628419,0.6508379888268156,0.32122905027932963,0.7094972067039106,0.5605214152700185
2015-05-01,0.48913043478260876,0.4375000000000001,0.6741924609213293,0.5336076319013127,0.3854961832061069,0.3500000000000001,0.8220135631149927,0.5191699154403665,0.6508379888268156,0.36033519553072624,0.7150837988826816,0.5754189944134079
2015-06-01,0.48913043478260876,0.40624999999999994,0.6840697604040186,0.5264833983955425,0.3854961832061069,0.2999999999999998,0.8445786628645298,0.5100249486902122,0.6508379888268156,0.32122905027932963,0.7318435754189944,0.5679702048417132
2015-07-01,0.49999999999999983,0.4375000000000001,0.6626834782215238,0.533394492740508,0.40458015267175534,0.3500000000000001,0.7957208154776497,0.516766989383135,0.6759776536312849,0.36033519553072624,0.6871508379888268,0.5744878957169459
2015-08-01,0.49999999999999983,0.4999999999999999,0.6821680819111903,0.5607226939703968,0.40458015267175534,0.44999999999999973,0.8402341995871504,0.5649381174196352,0.6759776536312849,0.4748603351955307,0.7262569832402235,0.6256983240223464
2015-09-01,0.5326086956521738,0.53125,0.6967313564344796,0.5868633506955511,0.46183206106870206,0.5,0.8735046033927506,0.6117788881538176,0.6983240223463687,0.5502793296089385,0.7597765363128491,0.6694599627560521
2015-10-01,0.48913043478260876,0.5624999999999999,0.7089677695767689,0.5868660681197925,0.3854961832061069,0.5499999999999998,0.9014591960034352,0.612318459736514,0.6508379888268156,0.6033519553072626,0.8212290502793296,0.6918063314711359
2015-11-01,0.4347826086956522,0.625,0.7073745974579156,0.5890524020511894,0.2900763358778626,0.6499999999999999,0.8978195283145988,0.6126319547308204,0.5418994413407822,0.6787709497206704,0.8044692737430168,0.6750465549348231
2015-12-01,0.3478260869565217,0.6875,0.598323266691964,0.5445497845494952,0.13740458015267157,0.75,0.6486872466756626,0.5120306089427781,0.3463687150837989,0.7737430167597765,0.553072625698324,0.5577281191806331
2016-01-01,0.3804347826086957,0.6875,0.6550157440735584,0.5743168422274181,0.19465648854961828,0.75,0.7782035592473401,0.5742866825989861,0.4273743016759777,0.7737430167597765,0.6536312849162011,0.6182495344506518
2016-02-01,0.39130434782608675,0.6875,0.7163902920103717,0.5983982132788195,0.21374045801526675,0.75,0.9184162559165181,0.627385571310595,0.44692737430167595,0.7737430167597765,0.8379888268156425,0.686219739292365
2016-03-01,0.42391304347826075,0.6875,0.7089672260532259,0.6067934231771622,0.27099236641221347,0.75,0.9014579543013904,0.6408167735712014,0.5139664804469274,0.7737430167597765,0.8156424581005587,0.7011173184357542
2016-04-01,0.42391304347826075,0.6875,0.7504424866950079,0.6206185100577563,0.27099236641221347,0.75,0.9962099049899452,0.6724007571340529,0.5139664804469274,0.7737430167597765,0.8994413407821229,0.7290502793296089
2016-05-01,0.4456521739130433,0.7187499999999999,0.7428287514122943,0.6357436417751124,0.3091603053435111,0.7999999999999998,0.9788160114037374,0.6959921055824161,0.5698324022346368,0.8296089385474861,0.88268156424581,0.7607076350093109
2016-06-01,0.45652173913043476,0.6875,0.7294604499616172,0.624494063030684,0.3282442748091602,0.75,0.9482755730738994,0.6755066159610198,0.5837988826815642,0.7737430167597765,0.8659217877094972,0.7411545623836128
2016-07-01,0.4347826086956522,0.6875,0.7057626305557279,0.6093484130837934,0.2900763358778626,0.75,0.8941369231648238,0.6447377530142289,0.5418994413407822,0.7737430167597765,0.7988826815642458,0.7048417132216015
2016-08-01,0.4347826086956522,0.6875,0.6902301029294244,0.6041709038750256,0.2900763358778626,0.75,0.8586522205024976,0.6329095187934534,0.5418994413407822,0.7737430167597765,0.7430167597765364,0.686219739292365
2016-09-01,0.4347826086956522,0.6875,0.7039917829587397,0.608758130551464,0.2900763358778626,0.75,0.8900913484875248,0.6433892281217958,0.5418994413407822,0.7737430167597765,0.7932960893854749,0.7029795158286779
2016-10-01,0.42391304347826075,0.6875,0.6943873856986942,0.6019334763923183,0.27099236641221347,0.75,0.8681497051682214,0.629714023860145,0.5139664804469274,0.7737430167597765,0.7541899441340782,0.680633147113594
2016-11-01,0.4021739130434782,0.6562499999999999,0.6457882340558307,0.5680707156997696,0.2328244274809159,0.6999999999999997,0.7571229304423922,0.563315785974436,0.4720670391061452,0.7122905027932961,0.6256983240223464,0.6033519553072625
2016-12-01,0.3695652173913042,0.625,0.5062127541287045,0.5002593238400029,0.17557251908396918,0.6499999999999999,0.4382569658470167,0.4212764949769953,0.4022346368715084,0.6787709497206704,0.3463687150837989,0.4757914338919926
2017-01-01,0.35869565217391275,0.625,0.5489873625870791,0.510894338253664,0.15648854961832004,0.6499999999999999,0.5359773304367741,0.4474886266850313,0.3743016759776536,0.6787709497206704,0.44692737430167595,0.5
2017-02-01,0.3478260869565217,0.5937500000000001,0.5850698926288018,0.5088819931951079,0.13740458015267157,0.6000000000000001,0.6184093647224712,0.45193798162504767,0.3463687150837989,0.6424581005586593,0.5363128491620112,0.5083798882681565
2017-03-01,0.3369565217391302,0.5937500000000001,0.5564347225929573,0.4957137481106959,0.11832061068702245,0.6000000000000001,0.5529911328124006,0.4237705811664744,0.32122905027932963,0.6424581005586593,0.4748603351955307,0.4795158286778399
